"x","y","ASH","BEECH","BIRCH","ELM","HEMLOCK","MAPLE","OAK","OTHER.CONIFER","OTHER.HARDWOOD","PINE","SPRUCE","TAMARACK"
"1381",-11000,1022000,0,0,0,0,0,0,0,0,0,0,0,0
"1382",-11000,1030000,0,0,0,0,0,0,0,0,0,0,0,0
"1383",-11000,1038000,0,0,0,0,0,0,0,0,0,0,0,0
"1384",-11000,1046000,0,0,0,0,0,0,0,0,0,0,0,0
"1385",-11000,1054000,0,0,0,0,0,0,0,0,0,0,0,0
"1386",-11000,1062000,0,0,0,0,0,0,0,0,0,0,0,0
"1387",-11000,1070000,0,0,0,0,0,0,0,0,0,0,0,0
"1388",-11000,1078000,0,0,0,0,0,0,0,0,0,0,0,0
"1389",-11000,1086000,0,0,0,0,0,0,0,0,0,0,0,0
"1390",-11000,1094000,0,0,0,0,0,0,0,0,0,0,0,0
"1391",-11000,1102000,0,0,0,0,0,0,0,0,0,0,0,0
"1392",-11000,1110000,0,0,0,0,0,0,0,0,0,0,0,0
"1393",-11000,1118000,0,0,0,0,0,0,0,0,0,0,0,0
"1394",-11000,1126000,0,0,0,0,0,0,0,0,0,0,0,0
"1395",-11000,1134000,0,0,0,0,0,0,0,0,0,0,0,0
"1396",-11000,1142000,0,0,0,0,0,0,0,0,0,0,0,0
"1397",-11000,1150000,0,0,0,0,0,0,0,0,0,0,0,0
"1398",-11000,1158000,0,0,0,0,0,0,0,0,0,0,0,0
"1399",-11000,1166000,0,0,0,0,0,0,0,0,0,0,0,0
"1400",-11000,1174000,0,0,0,0,0,0,0,0,0,0,0,0
"1401",-11000,1182000,0,0,0,0,0,0,0,0,0,0,0,0
"1402",-11000,1190000,0,0,0,0,0,0,0,0,0,0,0,0
"1403",-11000,1198000,0,0,0,0,0,0,0,0,2,0,0,0
"1404",-11000,1206000,0,0,0,0,0,0,0,0,0,0,0,0
"1405",-11000,1214000,0,0,0,0,0,0,0,0,0,0,0,0
"1406",-11000,1222000,0,0,0,0,0,0,0,0,0,0,0,0
"1407",-11000,1230000,0,0,0,1,0,0,1,0,1,0,0,0
"1408",-11000,1238000,2,0,0,4,0,0,3,0,0,0,0,0
"1409",-11000,1246000,0,0,0,0,0,0,0,0,0,0,0,0
"1410",-11000,1254000,0,0,0,0,0,0,0,0,0,0,0,0
"1411",-11000,1262000,0,0,0,0,0,0,2,0,0,0,0,0
"1412",-11000,1270000,2,0,0,4,0,0,2,0,5,0,0,0
"1413",-11000,1278000,0,0,0,0,0,0,0,0,0,0,0,0
"1414",-11000,1286000,0,0,0,0,0,0,2,0,0,0,0,0
"1415",-11000,1294000,0,0,0,0,0,0,0,0,0,0,0,0
"1416",-11000,1302000,0,0,0,0,0,0,0,0,0,0,0,0
"1417",-11000,1310000,0,0,0,1,0,0,0,0,1,0,0,0
"1418",-11000,1318000,0,0,0,0,0,0,0,0,0,0,0,0
"1419",-11000,1326000,0,0,0,0,0,0,1,0,1,0,0,0
"1420",-11000,1334000,6,0,0,8,0,0,11,0,5,0,0,0
"1421",-11000,1342000,1,0,0,0,0,0,10,0,1,0,0,0
"1422",-11000,1350000,0,0,0,0,0,0,0,0,0,0,0,0
"1423",-11000,1358000,0,0,0,0,0,0,0,0,0,0,0,0
"1424",-11000,1366000,0,0,0,0,0,0,0,0,0,0,0,0
"1425",-11000,1374000,0,0,0,0,0,0,0,0,0,0,0,0
"1426",-11000,1382000,0,0,0,0,0,0,0,0,0,0,0,0
"1427",-11000,1390000,0,0,0,0,0,0,0,0,0,0,0,0
"1428",-11000,1398000,2,0,0,0,0,0,0,0,0,0,0,0
"1429",-11000,1406000,0,0,0,0,0,0,0,0,0,0,0,0
"1430",-11000,1414000,0,0,0,0,0,0,0,0,0,0,0,0
"1431",-11000,1422000,0,0,0,0,0,0,0,0,0,0,0,0
"1432",-11000,1430000,0,0,0,1,0,0,0,0,1,0,0,0
"1433",-11000,1438000,0,0,0,0,0,0,3,0,0,0,0,0
"1434",-11000,1446000,2,0,0,2,0,0,5,0,0,0,0,0
"1435",-11000,1454000,0,0,0,0,0,0,0,0,0,0,0,0
"1436",-11000,1462000,0,0,0,0,0,0,0,0,0,0,0,0
"1540",-3000,854000,0,0,0,0,0,0,0,0,0,0,0,0
"1541",-3000,862000,0,0,0,0,0,0,0,0,0,0,0,0
"1542",-3000,870000,0,0,0,0,0,0,0,0,0,0,0,0
"1543",-3000,878000,0,0,0,0,0,0,0,0,0,0,0,0
"1544",-3000,886000,0,0,0,0,0,0,0,0,0,0,0,0
"1545",-3000,894000,0,0,0,0,0,0,0,0,0,0,0,0
"1546",-3000,902000,0,0,0,0,0,0,0,0,0,0,0,0
"1547",-3000,910000,0,0,0,0,0,0,0,0,0,0,0,0
"1548",-3000,918000,1,0,0,0,0,0,0,0,1,0,0,0
"1549",-3000,926000,0,0,0,0,0,0,0,0,0,0,0,0
"1550",-3000,934000,1,0,0,0,0,0,0,0,1,0,0,0
"1551",-3000,942000,0,0,0,0,0,1,6,0,1,0,0,0
"1552",-3000,950000,0,0,0,2,0,2,3,0,3,0,0,0
"1553",-3000,958000,0,0,0,0,0,0,0,0,0,0,0,0
"1554",-3000,966000,0,0,0,0,0,0,0,0,0,0,0,0
"1555",-3000,974000,0,0,0,0,0,0,0,0,0,0,0,0
"1556",-3000,982000,0,0,0,0,0,0,0,0,0,0,0,0
"1557",-3000,990000,0,0,0,0,0,0,0,0,0,0,0,0
"1558",-3000,998000,0,0,0,0,0,0,0,0,0,0,0,0
"1559",-3000,1006000,0,0,0,0,0,0,0,0,0,0,0,0
"1560",-3000,1014000,0,0,0,1,0,1,0,0,0,0,0,0
"1561",-3000,1022000,0,0,0,0,0,0,0,0,0,0,0,0
"1562",-3000,1030000,0,0,0,0,0,0,0,0,0,0,0,0
"1563",-3000,1038000,2,0,0,1,0,0,1,0,2,0,0,0
"1564",-3000,1046000,0,0,0,0,0,0,0,0,0,0,0,0
"1565",-3000,1054000,0,0,0,0,0,0,0,0,0,0,0,0
"1566",-3000,1062000,0,0,0,0,0,0,0,0,0,0,0,0
"1567",-3000,1070000,0,0,0,0,0,0,0,0,0,0,0,0
"1568",-3000,1078000,0,0,0,0,0,0,0,0,0,0,0,0
"1569",-3000,1086000,0,0,0,0,0,0,0,0,0,0,0,0
"1570",-3000,1094000,0,0,0,0,0,0,0,0,0,0,0,0
"1571",-3000,1102000,0,0,0,0,0,0,0,0,0,0,0,0
"1572",-3000,1110000,0,0,0,0,0,0,0,0,0,0,0,0
"1573",-3000,1118000,0,0,0,0,0,0,0,0,0,0,0,0
"1574",-3000,1126000,0,0,0,0,0,0,0,0,0,0,0,0
"1575",-3000,1134000,0,0,0,0,0,0,0,0,0,0,0,0
"1576",-3000,1142000,0,0,0,0,0,0,0,0,0,0,0,0
"1577",-3000,1150000,0,0,0,0,0,0,0,0,0,0,0,0
"1578",-3000,1158000,0,0,0,0,0,0,0,0,0,0,0,0
"1579",-3000,1166000,0,0,0,0,0,0,0,0,0,0,0,0
"1580",-3000,1174000,0,0,0,0,0,0,0,0,0,0,0,0
"1581",-3000,1182000,0,0,0,0,0,0,0,0,0,0,0,0
"1582",-3000,1190000,0,0,0,0,0,0,0,0,0,0,0,0
"1583",-3000,1198000,0,0,0,0,0,0,0,0,10,1,0,0
"1584",-3000,1206000,0,0,0,0,0,0,0,0,0,0,0,0
"1585",-3000,1214000,0,0,0,0,0,0,0,0,0,0,0,0
"1586",-3000,1222000,0,0,0,0,0,0,0,0,0,0,0,0
"1587",-3000,1230000,0,0,0,3,0,0,0,0,0,0,0,0
"1588",-3000,1238000,0,0,0,0,0,0,0,0,0,0,0,0
"1589",-3000,1246000,0,0,0,0,0,0,0,0,0,0,0,0
"1590",-3000,1254000,0,0,0,0,0,0,0,0,0,0,0,0
"1591",-3000,1262000,0,0,0,0,0,0,0,0,0,0,0,0
"1592",-3000,1270000,2,0,0,0,0,0,2,0,0,0,0,0
"1593",-3000,1278000,0,0,0,0,0,0,2,0,0,0,0,0
"1594",-3000,1286000,0,0,0,0,0,0,0,0,0,0,0,0
"1595",-3000,1294000,0,0,0,0,0,0,0,0,0,0,0,0
"1596",-3000,1302000,0,0,0,0,0,0,0,0,0,0,0,0
"1597",-3000,1310000,0,0,0,0,0,0,0,0,0,0,0,0
"1598",-3000,1318000,0,0,0,0,0,0,0,0,0,0,0,0
"1599",-3000,1326000,1,0,0,2,0,0,5,0,1,0,0,0
"1600",-3000,1334000,1,0,0,4,0,0,4,0,1,0,0,0
"1601",-3000,1342000,0,0,0,0,0,0,0,0,0,0,0,0
"1602",-3000,1350000,0,0,0,0,0,0,0,0,0,0,0,0
"1603",-3000,1358000,0,0,0,0,0,0,0,0,0,0,0,0
"1604",-3000,1366000,0,0,0,0,0,0,0,0,0,0,0,0
"1605",-3000,1374000,0,0,0,0,0,0,2,0,0,0,0,0
"1606",-3000,1382000,0,0,0,0,0,0,0,0,0,0,0,0
"1607",-3000,1390000,1,0,0,2,0,0,1,0,0,0,0,0
"1608",-3000,1398000,0,0,0,0,0,0,0,0,2,0,0,0
"1609",-3000,1406000,2,0,0,3,0,0,5,0,0,0,0,0
"1610",-3000,1414000,0,0,0,0,0,0,0,0,0,0,0,0
"1611",-3000,1422000,0,0,0,0,0,0,0,0,0,0,0,0
"1612",-3000,1430000,0,0,0,0,0,0,0,0,0,0,0,0
"1613",-3000,1438000,0,0,0,1,0,0,3,0,0,0,0,0
"1614",-3000,1446000,0,0,0,3,0,0,1,0,0,0,0,0
"1615",-3000,1454000,2,0,0,3,0,0,1,0,0,0,0,0
"1616",-3000,1462000,0,0,0,0,0,0,0,0,0,0,0,0
"1720",5000,854000,0,0,0,0,0,0,0,0,0,0,0,0
"1721",5000,862000,0,0,0,0,0,0,0,0,0,0,0,0
"1722",5000,870000,0,0,0,0,0,0,0,0,0,0,0,0
"1723",5000,878000,0,0,0,0,0,0,0,0,0,0,0,0
"1724",5000,886000,0,0,0,0,0,0,0,0,0,0,0,0
"1725",5000,894000,0,0,0,0,0,0,0,0,0,0,0,0
"1726",5000,902000,0,0,0,0,0,0,0,0,0,0,0,0
"1727",5000,910000,0,0,0,0,0,0,6,0,0,0,0,0
"1728",5000,918000,0,0,0,0,0,0,2,0,0,0,0,0
"1729",5000,926000,0,0,0,0,0,0,0,0,0,0,0,0
"1730",5000,934000,0,0,0,0,0,0,2,0,0,0,0,0
"1731",5000,942000,0,0,0,0,0,0,0,0,0,0,0,0
"1732",5000,950000,1,0,0,1,0,0,0,0,0,0,0,0
"1733",5000,958000,0,0,0,0,0,0,0,0,0,0,0,0
"1734",5000,966000,0,0,0,0,0,0,0,0,0,0,0,0
"1735",5000,974000,0,0,0,0,0,0,0,0,0,0,0,0
"1736",5000,982000,0,0,0,0,0,0,0,0,0,0,0,0
"1737",5000,990000,0,0,0,0,0,0,0,0,0,0,0,0
"1738",5000,998000,0,0,0,0,0,0,0,0,0,0,0,0
"1739",5000,1006000,0,0,0,0,0,0,0,0,0,0,0,0
"1740",5000,1014000,0,0,0,0,0,0,0,0,0,0,0,0
"1741",5000,1022000,0,0,0,0,0,0,0,0,1,0,0,0
"1742",5000,1030000,0,0,0,0,0,0,0,0,0,0,0,0
"1743",5000,1038000,0,0,0,2,0,0,0,0,0,0,0,0
"1744",5000,1046000,0,0,0,0,0,0,0,0,0,0,0,0
"1745",5000,1054000,0,0,0,3,0,0,0,0,1,0,0,0
"1746",5000,1062000,0,0,0,0,0,0,0,0,0,0,0,0
"1747",5000,1070000,0,0,0,0,0,0,0,0,0,0,0,0
"1748",5000,1078000,0,0,0,0,0,0,0,0,0,0,0,0
"1749",5000,1086000,0,0,0,0,0,0,0,0,0,0,0,0
"1750",5000,1094000,0,0,0,0,0,0,0,0,0,0,0,0
"1751",5000,1102000,0,0,0,0,0,0,0,0,0,0,0,0
"1752",5000,1110000,0,0,0,0,0,0,0,0,0,0,0,0
"1753",5000,1118000,0,0,0,0,0,0,0,0,0,0,0,0
"1754",5000,1126000,0,0,0,0,0,0,0,0,0,0,0,0
"1755",5000,1134000,0,0,0,0,0,0,0,0,0,0,0,0
"1756",5000,1142000,0,0,0,0,0,1,1,0,0,0,0,0
"1757",5000,1150000,0,0,0,0,0,0,1,0,0,0,0,0
"1758",5000,1158000,0,0,0,0,0,0,0,0,0,0,0,0
"1759",5000,1166000,0,0,0,0,0,0,2,0,0,0,0,0
"1760",5000,1174000,0,0,0,0,0,0,0,0,0,0,0,0
"1761",5000,1182000,0,0,0,0,0,0,0,0,0,0,0,0
"1762",5000,1190000,0,0,0,0,0,0,0,0,0,0,0,0
"1763",5000,1198000,0,0,0,0,0,0,0,0,0,0,0,0
"1764",5000,1206000,0,0,0,0,0,0,1,0,0,0,0,0
"1765",5000,1214000,0,0,0,0,0,0,0,0,0,0,0,0
